City,Lat,Long,Max Tempurature,Humidity,Cloudiness,Wind Speed,Country,Date
carnarvon,-24.8667,113.6333,77.0,94,75,12.66,AU,1611268769
mataura,-46.1927,168.8643,57.99,81,69,13.0,NZ,1611268770
bethel,41.3712,-73.414,32.0,64,20,3.98,US,1611268770
yerbogachen,61.2767,108.0108,-44.81,78,48,3.27,RU,1611268771
seoul,37.5683,126.9778,39.2,100,75,4.61,KR,1611268615
dikson,73.5069,80.5464,-26.46,83,6,4.14,RU,1611268771
rikitea,-23.1203,-134.9692,78.89,74,1,15.77,PF,1611268771
wad madani,14.4012,33.5199,68.97,31,41,14.92,SD,1611268771
hilo,19.7297,-155.09,70.0,88,90,11.5,US,1611268772
margate,51.3813,1.3862,42.01,83,100,3.0,GB,1611268772
goroka,-6.0834,145.3873,69.31,73,100,0.29,PG,1611268772
torbay,47.6666,-52.7314,30.0,100,90,32.21,CA,1611268772
castro,-24.7911,-50.0119,64.76,97,100,4.23,BR,1611268773
punta arenas,-53.15,-70.9167,57.2,41,0,29.93,CL,1611268773
iqaluit,63.7506,-68.5145,30.2,74,75,28.77,CA,1611268773
bluff,-46.6,168.3333,57.99,81,48,13.0,NZ,1611268773
segezha,63.7415,34.3222,9.86,94,100,13.31,RU,1611268774
new norfolk,-42.7826,147.0587,69.01,47,100,7.0,AU,1611268774
flinders,-34.5833,150.8552,77.0,75,2,1.99,AU,1611268774
port blair,11.6667,92.75,74.08,69,18,7.07,IN,1611268775
nikel,69.4128,30.222,-11.2,84,90,5.75,RU,1611268775
abu samrah,35.3029,37.1841,40.53,65,75,6.38,SY,1611268775
ilulissat,69.2167,-51.1,14.0,67,11,4.61,GL,1611268776
butaritari,3.0707,172.7902,79.97,80,21,12.55,KI,1611268776
morlenbach,49.5992,8.7347,50.0,87,100,1.99,DE,1611268776
vaini,-21.2,-175.2,80.6,89,75,14.97,TO,1611268776
pithora,21.2667,82.5167,56.77,37,0,2.59,IN,1611268777
port alfred,-33.5906,26.891,66.99,94,7,15.05,ZA,1611268777
saldanha,-33.0117,17.9442,71.6,68,24,8.05,ZA,1611268777
kamenka,51.3223,42.7678,19.99,93,100,13.62,RU,1611268777
sao filipe,14.8961,-24.4956,72.61,70,67,7.78,CV,1611268777
buchanan,5.8808,-10.0467,77.0,94,40,6.11,LR,1611268778
east london,-33.0153,27.9116,73.02,83,39,16.46,ZA,1611268689
nikolskoye,59.7035,30.7861,15.8,86,90,17.9,RU,1611268778
bambous virieux,-20.3428,57.7575,79.0,83,40,5.75,MU,1611268778
powell river,49.8496,-124.5361,44.6,75,40,6.91,CA,1611268779
dovers,12.8833,-61.1833,80.6,78,40,4.61,VC,1611268779
lac du bonnet,50.2536,-96.0612,1.99,100,58,3.0,CA,1611268779
busselton,-33.65,115.3333,64.0,84,0,3.0,AU,1611268779
bathsheba,13.2167,-59.5167,77.0,78,20,11.5,BB,1611268780
coihaique,-45.5752,-72.0662,66.2,48,75,9.22,CL,1611268780
ushuaia,-54.8,-68.3,53.6,66,20,5.75,AR,1611268775
albany,42.6001,-73.9662,33.01,55,79,6.06,US,1611268483
cape town,-33.9258,18.4232,70.0,77,20,10.36,ZA,1611268581
ouango,4.3133,22.5552,70.5,34,100,0.83,CF,1611268781
davila,18.4726,120.5763,75.2,100,75,4.7,PH,1611268781
port elizabeth,-33.918,25.5701,69.8,94,75,9.22,ZA,1611268600
atuona,-9.8,-139.0333,78.01,78,58,13.51,PF,1611268782
zemio,5.0314,25.1361,67.33,31,68,4.16,CF,1611268782
veraval,20.9,70.3667,65.59,62,0,13.49,IN,1611268782
khatanga,71.9667,102.5,-33.72,83,99,3.06,RU,1611268783
barrow,71.2906,-156.7887,-4.0,77,90,23.02,US,1611268784
severo-kurilsk,50.6789,156.125,19.74,92,99,2.82,RU,1611268785
te anau,-45.4167,167.7167,59.92,69,74,5.23,NZ,1611268785
bredasdorp,-34.5322,20.0403,69.8,88,78,8.05,ZA,1611268785
atar,20.5169,-13.0499,64.58,23,69,10.04,MR,1611268786
hermanus,-34.4187,19.2345,72.0,82,68,7.0,ZA,1611268786
douglas,41.3,-96.167,44.6,36,1,10.36,US,1611268578
salinopolis,-0.6136,-47.3561,79.25,85,97,11.95,BR,1611268787
yellowknife,62.456,-114.3525,-14.8,76,75,3.44,CA,1611268601
kutum,14.2,24.6667,49.87,44,6,10.87,SD,1611268788
saint-philippe,-21.3585,55.7679,82.4,74,75,10.87,RE,1611268788
ambanja,-13.6833,48.45,74.59,89,93,2.62,MG,1611268788
vostok,46.4856,135.8833,-11.27,89,0,4.34,RU,1611268788
tommot,58.9564,126.2925,-34.96,80,100,0.85,RU,1611268789
pisco,-13.7,-76.2167,75.2,69,0,23.02,PE,1611268789
yunhe,34.0833,119.7167,44.26,78,100,6.87,CN,1611268789
teacapan,22.55,-105.75,77.0,63,3,11.41,MX,1611268789
imbituba,-28.24,-48.6703,71.6,94,75,5.75,BR,1611268790
lebu,-37.6167,-73.65,62.26,79,0,20.8,CL,1611268790
shelburne,44.0787,-80.2041,35.6,75,90,13.8,CA,1611268790
avarua,-21.2078,-159.775,84.2,70,20,6.91,CK,1611268790
jamestown,42.097,-79.2353,36.0,64,90,12.66,US,1611268791
linxia,35.6003,103.2064,26.19,69,54,0.54,CN,1611268791
kapaa,22.0752,-159.319,78.8,69,40,14.97,US,1611268791
chuy,-33.6971,-53.4616,69.78,80,0,9.66,UY,1611268791
marawi,7.9986,124.2928,75.0,92,98,3.0,PH,1611268792
coos bay,43.3665,-124.2179,60.01,76,90,5.75,US,1611268792
pedernales,18.0384,-71.744,77.61,70,32,1.79,DO,1611268792
harper,4.375,-7.7169,78.46,84,1,7.81,LR,1611268793
clyde river,70.4692,-68.5914,-0.4,92,40,2.3,CA,1611268793
cabedelo,-6.9811,-34.8339,80.6,78,20,10.36,BR,1611268793
walvis bay,-22.9575,14.5053,70.0,77,36,8.05,NA,1611268794
sioux lookout,50.1001,-91.917,-0.4,71,90,13.8,CA,1611268794
mamallapuram,12.6264,80.1722,78.8,94,40,2.3,IN,1611268794
chokurdakh,70.6333,147.9167,-40.04,80,47,6.58,RU,1611268794
vao,-22.6667,167.4833,74.98,79,0,18.63,NC,1611268795
qaanaaq,77.484,-69.3632,10.53,91,84,3.27,GL,1611268795
urumqi,43.801,87.6005,3.2,85,40,2.24,CN,1611268795
saint george,37.1041,-113.5841,62.01,38,20,3.44,US,1611268571
ondjiva,-17.0667,15.7333,67.93,75,100,5.68,AO,1611268796
tuktoyaktuk,69.4541,-133.0374,-7.6,84,90,16.11,CA,1611268796
katsuura,35.1333,140.3,37.4,60,75,3.44,JP,1611268796
faanui,-16.4833,-151.75,81.46,74,7,14.81,PF,1611268796
cabo san lucas,22.8909,-109.9124,77.0,73,75,9.22,MX,1611268595
leningradskiy,69.3833,178.4167,-13.56,87,100,7.49,RU,1611268797
isangel,-19.55,169.2667,78.8,94,90,10.92,VU,1611268797
jiazi,22.8779,116.067,66.13,75,84,2.77,CN,1611268797
nome,64.5011,-165.4064,30.2,80,90,18.41,US,1611268727
ancud,-41.8697,-73.8203,73.4,64,0,10.36,CL,1611268798
tuatapere,-46.1333,167.6833,57.99,81,68,13.0,NZ,1611268798
klaksvik,62.2266,-6.589,35.6,69,75,28.77,FO,1611268799
hamilton,39.1834,-84.5333,50.0,34,1,13.8,US,1611268709
nyaunglebin,17.95,96.7333,61.95,89,0,2.46,MM,1611268800
norman wells,65.282,-126.8329,5.0,85,75,2.3,CA,1611268801
lima,-12.0432,-77.0282,73.4,73,0,14.97,PE,1611268801
narsaq,60.9167,-46.05,23.0,58,20,4.61,GL,1611268801
namatanai,-3.6667,152.4333,82.96,60,89,7.31,PG,1611268802
hobart,-42.8794,147.3294,69.01,34,0,12.66,AU,1611268812
ileanda,47.3333,23.6333,41.0,75,90,5.75,RO,1611268812
roald,62.5833,6.1333,42.8,75,40,9.22,NO,1611268812
kavieng,-2.5744,150.7967,83.14,65,92,8.25,PG,1611268814
mogoytuy,51.2833,114.9167,-2.38,87,98,1.19,RU,1611268814
haines junction,60.7522,-137.5108,1.4,78,31,1.14,CA,1611268814
poum,-20.2333,164.0167,79.45,72,100,9.62,NC,1611268814
ketchikan,55.3422,-131.6461,35.6,80,75,8.05,US,1611268814
guerrero negro,27.9769,-114.0611,66.83,52,18,9.55,MX,1611268815
pevek,69.7008,170.3133,-20.2,86,100,1.21,RU,1611268815
saskylakh,71.9167,114.0833,-21.35,86,100,10.22,RU,1611268816
srandakan,-7.9386,110.2506,78.76,80,100,2.91,ID,1611268816
eureka,40.8021,-124.1637,55.0,74,73,1.99,US,1611268816
frankfort,-27.2667,28.4833,65.19,69,98,7.34,ZA,1611268817
anadyr,64.75,177.4833,1.4,85,75,11.18,RU,1611268817
naryan-mar,67.6713,53.087,-16.82,88,97,9.24,RU,1611268817
jackson,42.4165,-122.8345,51.01,46,90,1.1,US,1611268818
roma,43.2128,-75.4557,35.6,60,90,4.61,US,1611268684
valdivia,-39.8142,-73.2459,87.8,40,0,9.22,CL,1611268715
aloleng,16.1307,119.7824,78.85,83,100,6.31,PH,1611268819
caucasia,7.9865,-75.1935,81.97,70,83,3.85,CO,1611268819
monte alegre,-2.0078,-54.0692,77.25,77,85,1.43,BR,1611268819
